src,dst
4757,2060
576,5009
5729,3913
3430,6654
756,6108
5722,6906
799,4492
5854,2861
4720,7096
117,3906
7316,6039
499,2510
2343,5790
6870,1034
3671,2552
4337,161
5567,2050
3170,4256
6260,6932
677,338
7511,7446
737,4553
1874,3999
7555,5274
2285,1089
1734,3430
2037,3239
6026,3503
6043,2918
6891,4705
4031,993
3716,1921
3814,2456
2093,1269
391,1822
796,3039
1842,3121
4032,4786
840,7283
6024,4746
2834,900
4329,7224
3591,879
7283,5875
1490,1915
3427,2168
7580,7559
2458,2306
2735,894
6291,2057
1635,3959
1279,2634
1199,6812
7581,6471
5132,2071
7040,7056
450,2752
341,3748
3550,1228
678,6551
4632,5131
2070,4826
4167,2328
3790,6542
1803,4482
768,2280
2826,4580
6463,3453
6334,599
6976,66
2996,4991
4291,5777
6156,5962
2310,2943
4416,3971
1902,3148
3954,5603
2970,4709
3613,614
4014,1712
1529,4071
7455,2171
5679,3529
85,7326
1563,7065
2093,3847
6876,774
2362,7455
2833,7040
7423,354
1165,7177
6896,4809
2331,2857
2016,3785
4822,6702
4879,820
5763,2072
668,3338
6224,7385
4741,886
6002,2088
3314,5808
6812,7555
628,3939
7462,467
6361,5404
1655,1527
3186,146
3929,419
2088,628
5849,4475
7346,292
7100,5743
6604,1375
2333,3842
3849,3873
7419,770
3458,4217
3329,5527
6834,1837
6035,7082
1321,900
818,4221
4872,3971
2265,2395
4426,2164
6217,148
5487,4998
1913,6639
1731,2461
540,6162
7414,3809
6973,6318
5235,7406
4927,3089
7312,5784
1164,5797
5921,4701
2645,3555
4573,1810
5792,5230
1713,3760
1494,7594
5030,3217
840,2640
7306,2936
6542,1786
2187,2862
2013,5715
3959,604
2706,3427
2818,4422
2640,1117
2994,1615
7364,3291
7283,2171
633,1034
1488,1548
5383,5183
646,3713
6465,2478
5453,1226
1227,5156
4078,3120
7514,3235
6774,3233
3341,6799
1139,613
3143,2088
1921,4032
1661,4859
780,7096
3808,2478
391,5823
5231,66
1920,4561
7474,3809
7326,4877
1049,5234
2339,7174
5493,2695
4607,616
1389,1138
1201,1841
7154,606
946,568
6173,5837
1510,2596
4800,1950
422,1322
4221,6215
6886,7207
1578,4982
948,614
1258,3314
2163,1471
3809,3238
6118,2905
1078,3878
887,4310
4488,3526
3261,1154
4257,6811
4933,5862
6555,7043
6175,406
2687,7483
6050,4841
5639,3809
5243,3809
1363,5178
6382,7300
5377,3809
4981,3809
1261,3181
4618,3757
1733,6963
5132,3978
813,2267
7179,3645
2948,7231
1602,4413
4124,7571
1345,5511
810,1969
7088,2968
2149,1549
5877,6202
6290,6371
5469,4687
5381,2588
138,7174
5145,3809
5541,3809
4873,3121
2834,5035
5876,2567
227,4213
4086,5185
6352,6468
5139,3994
113,7117
7130,346
2764,5959
1045,4845
7024,1613
6518,2973
2567,2412
2393,4511
5442,770
4203,2737
5679,2403
2047,1622
161,6784
7518,3087
264,5219
3343,5262
1153,1153
3971,3141
4296,6873
3141,6067
2582,6103
6565,5421
384,5486
947,2216
3274,6596
6433,6433
583,1939
4127,4031
264,5569
5271,2204
708,887
7065,6875
1289,2330
4539,6227
3809,4661
6287,1131
657,5271
4435,7567
5471,6961
5271,5587
5990,2830
1864,1514
6657,2327
611,4337
5666,1952
4279,2331
4079,3209
2322,4055
2458,5636
1042,359
997,5312
3602,3809
4701,2963
6420,5797
330,1062
6479,5623
4187,3681
7325,921
2445,7279
4568,6756
3809,5950
3639,843
1192,3686
1665,3906
6386,147
3844,3692
6432,2774
7283,4078
3809,6889
824,257
1789,2629
3690,781
7518,188
3531,2414
659,7545
2304,4014
3971,242
4707,5006
6555,4278
2797,3358
2392,5524
150,4635
6377,2471
6184,5274
1826,417
7433,7405
3809,7239
3737,5673
1975,6175
600,7315
7425,6763
6563,2826
5219,3087
1015,360
1908,1920
2671,2845
4257,1363
3809,5145
4624,6260
5792,7271
7223,3222
3505,7393
4461,1543
87,3131
2265,5725
2198,4503
887,740
4717,3226
5739,470
2359,5360
5697,2688
6951,5917
7092,7088
7477,5209
4638,6316
3449,264
5183,1686
2504,4960
7433,6600
4701,4386
3949,2307
442,5924
7223,1128
7118,2832
1908,4148
6963,5927
2718,3199
3893,7101
2000,6366
4577,5259
3696,7496
4021,5566
6862,2088
2097,3266
3969,7096
1309,32
462,3543
7571,1996
2206,7373
702,2249
5630,2755
631,5981
1032,663
3809,1896
4967,2411
3556,1450
4311,7210
6126,5588
3022,3960
5859,5998
4859,6261
7569,610
3572,1394
781,4235
6889,851
4172,5331
5602,1646
1539,7260
6551,1795
5035,1764
7044,7555
7502,2017
2980,7117
1514,33
4865,4736
6551,5178
6312,466
38,6756
5174,3047
258,114
332,63
4251,4284
2556,6008
6386,3798
4195,1908
1943,331
328,5956
3363,6481
4870,4706
3791,5238
7108,3941
962,4781
3706,404
5624,6077
6990,3131
6926,5590
7210,2905
5873,5091
2633,5854
7326,6463
4938,4059
3809,4474
3535,707
424,4324
417,3153
2640,1548
1148,1911
1261,1034
6815,282
6364,4547
3809,5413
5464,6734
1701,5470
1914,101
921,2097
1215,100
2712,4053
4553,3844
652,7342
3711,6009
2109,3760
4922,5404
3094,3566
6817,5431
3613,5851
6242,770
662,301
1242,2862
4480,1272
1453,5526
6579,4327
7477,5477
7571,6802
5722,734
2072,5763
3087,1082
5571,6200
3427,6600
6633,3809
5056,6508
6707,6175
2523,2437
6136,7140
740,2062
1485,2970
3854,5132
2567,6681
3064,1071
2993,4803
1420,7456
5854,7427
5221,344
3696,759
4508,4609
3802,1185
4801,3141
6067,4687
3809,1575
5877,2311
5068,6868
775,2406
486,2303
5792,3701
3352,5271
2540,3141
2817,1729
2187,3777
4324,7124
6922,6140
6284,4163
2987,2140
1920,4187
5811,7326
797,3104
5107,565
7096,1008
7426,2640
7223,591
1123,4028
2532,5882
3745,1940
3960,3814
2993,615
121,1774
4801,4430
1174,583
6341,5047
258,6209
3809,2864
4298,3809
2333,1508
2197,681
6961,3974
127,1030
4036,3809
4432,3809
851,4279
5175,1638
3332,3464
6945,997
5871,6037
7323,2111
7032,3625
1731,127
6386,4416
2826,1791
2249,467
5222,6530
248,3427
1970,1806
2049,2099
1932,5486
2362,344
2826,5174
6551,3702
5262,6868
3304,1042
3314,1730
4709,3686
2235,10
4392,3979
144,1734
6643,258
3194,6509
6551,7085
207,5466
2151,282
2280,692
6834,4175
5951,1613
2262,7468
4753,2645
5019,5016
5745,3430
7056,23
7393,2826
2596,3557
1971,3505
1236,4039
3731,6340
1071,5692
577,2905
6919,2943
1363,616
4620,22
6621,1034
3713,3290
6349,3544
946,3711
3809,2998
6980,4350
2482,1176
6668,2543
997,6682
7044,5274
5877,7117
846,3480
2330,4727
1908,1062
2899,2403
5772,6542
546,4127
4701,4683
5417,1655
5191,4318
1313,98
3252,986
2395,3809
1999,3809
395,5651
2468,2567
2055,708
4252,3544
3192,4318
1695,4337
3333,1325
3809,5226
5089,7424
1157,2187
7170,5921
6222,2964
2366,5673
6117,1450
568,6518
4038,6217
6003,1348
2410,2747
1911,6032
3427,6063
4638,5458
6281,3544
6396,7466
2253,319
2029,3809
1767,3809
2980,4031
3097,5370
2968,2516
631,801
3427,3030
4046,4765
4416,3544
4328,1445
3737,7393
6812,1867
432,591
4341,4124
2135,448
5178,7250
7021,5424
1105,5006
88,6416
7166,3304
3257,525
3427,7352
2233,956
2706,422
6868,2149
371,4260
3177,6423
2716,6028
6619,4828
7283,1610
7426,1164
3778,2856
2171,7433
4982,3524
729,935
7384,4136
5912,1179
4682,3262
1288,6002
1450,1634
2826,5792
7231,107
3569,3621
7263,6246
114,258
7070,4885
6437,4972
3878,4376
361,6551
7006,928
3119,4324
4031,5372
3778,762
6491,6898
6596,2750
4170,54
1902,4360
2547,7316
497,935
5490,1836
2025,37
6037,4449
37,7366
6374,836
5935,4172
4187,408
2516,2718
1800,3302
551,7587
6031,1436
1684,7291
3330,6614
5396,2359
1323,7285
3713,3908
3766,2980
1641,3430
3702,5439
127,1782
2222,4873
3335,1481
2316,2256
1547,762
454,5560
4337,7118
3083,4643
3360,3231
7207,5132
4444,599
1393,295
3351,1425
2735,5623
3193,6501
3144,7548
6811,5132
2915,4278
5938,2534
6387,2360
6916,3613
3335,5803
6542,2648
3966,2637
7139,652
2706,4289
7190,3623
1052,4324
2867,450
5410,4485
5107,512
2951,1841
6831,3690
4293,3971
6215,5636
2980,6743
1557,295
3181,2303
5423,3192
2360,619
7359,3809
7578,1638
3034,563
3261,3760
1325,6553
7283,6416
7096,1894
6259,4403
6904,7551
7062,4727
4316,6025
2122,6870
4937,2171
5214,759
2144,4377
258,3123
366,1902
6756,1422
64,3257
2860,568
6865,3809
1774,121
6108,2140
7455,2362
3702,2540
4638,10
7043,6555
1912,994
4510,764
4534,5322
3543,1729
5384,5492
4422,2637
5864,467
879,3591
3341,2534
1937,2744
2826,2088
7363,2746
3550,6091
1179,7266
3809,5039
4029,841
4800,718
2661,708
3506,2786
5555,5724
6061,1920
4622,1355
5396,7165
1265,5505
330,6917
2567,1046
2887,4434
5079,2762
3136,7390
7033,4682
4786,4203
3917,1539
2816,5722
3911,7386
4441,4168
4814,2464
2241,4444
5455,6432
5016,1632
1267,4238
3087,7124
2003,3340
3809,6328
1550,3772
6464,216
304,7574
3305,2099
4337,31
2007,3459
3483,2371
969,1548
7096,2378
2304,3453
941,3664
6464,3599
7190,2013
6085,570
1090,3006
5345,760
123,3971
5294,5144
5745,1633
3809,4234
5528,652
4736,4624
2905,2515
4646,5862
4252,3491
4388,908
1712,6143
6146,5360
2095,6847
1503,3525
5830,6063
88,7518
1800,5209
6862,5715
4682,6458
3954,801
652,686
850,3145
2980,595
258,5485
2000,6960
2775,1883
579,1339
3155,1350
6840,5175
4097,328
3809,5523
7560,3145
894,3602
3387,1858
2205,949
3586,7171
6891,6803
5981,1886
341,1174
6141,3861
3959,5467
7316,6043
851,6349
5204,4446
4127,2799
3387,2797
7146,6763
2652,887
1683,3469
6640,3959
5802,1362
2957,6596
6071,7414
1291,7560
1651,5651
6904,1753
2972,3686
3287,2566
2915,7124
255,6476
3180,4389
7084,408
1731,3136
6220,2060
164,7489
6062,6547
4775,1680
993,174
1772,4076
1355,7171
1995,5811
4841,7403
7043,757
3908,3034
4422,5699
4510,1382
5862,2702
3219,1469
1106,7406
7548,3144
2018,2038
3089,5560
5331,33
1308,3568
4135,946
1024,3809
6103,2764
1374,7571
252,4461
7210,1055
1475,3681
3273,2644
255,2288
3787,2865
1237,1823
2966,5345
230,3921
4191,6890
6082,2826
3315,3809
2556,3003
7174,4781
947,6945
2196,6632
3505,7316
5463,1276
4358,587
6204,4694
7503,2970
2530,5165
1484,5837
2590,520
2593,791
3711,4159
2135,879
4182,3744
5359,4309
1033,3871
6812,5681
2280,5929
1803,1803
4019,5443
454,2474
3706,782
5142,2739
947,5790
4961,4421
3283,5560
5074,3544
7309,7426
1084,3809
6476,255
980,5149
1484,4682
4708,7358
3997,1870
2627,7326
901,7485
2171,4831
2233,5709
336,5986
152,7397
4481,936
4429,4910
5706,6645
5026,6886
7500,4146
1731,1526
153,4589
3682,1485
1510,5499
892,7372
264,7049
2764,6284
3934,1706
7210,4572
5429,860
1155,3810
1771,1864
852,3809
1179,1952
3348,4992
1040,6489
3146,1101
2712,4781
3971,5910
4492,6548
2863,4950
6889,2652
4008,2005
4168,3980
6520,4475
7502,6262
1912,941
1148,6961
814,1423
4014,1261
4086,6799
5987,979
164,4724
4362,5916
3271,4371
270,3430
555,6043
7403,779
4200,4053
6600,6282
3701,922
3809,1953
1638,2250
359,6104
7174,138
1649,5792
7177,3819
5651,656
3231,7574
1908,5494
3102,5474
1920,4565
3644,6989
2088,4149
336,3087
5019,5260
5685,2869
3682,7446
3045,3627
5056,6081
190,4201
7590,7556
14,3975
6600,7571
6751,6986
493,7393
5956,5025
6567,2735
6104,759
923,6977
6479,6298
3384,3443
779,2502
2412,2529
4124,220
997,860
7301,2326
3808,1677
1050,3904
6258,2515
174,69
616,1168
6600,6416
1753,614
6555,4953
7391,4471
4294,1570
1716,732
5893,7463
270,3914
4893,6036
5645,4917
3136,6882
7061,3778
3341,3904
7332,2551
7256,5185
6182,3809
5786,3809
6371,298
5524,3809
4705,6924
505,5659
5178,3172
3225,4860
4278,2915
7552,7398
3056,887
5711,1191
7316,2957
3809,5820
2691,4172
4389,1965
2823,127
2088,4633
161,2816
2012,851
3930,7278
3491,4198
3696,466
1729,4700
7161,2265
3809,6759
3809,343
1046,2980
445,3514
4736,7149
780,5490
3547,2817
3225,2766
6212,3809
5950,3809
360,2652
7512,4939
6681,2567
1323,4951
6693,1638
5736,3291
1030,3386
407,4161
3103,302
5670,4923
3965,5959
7411,7516
1363,2283
3689,3809
1089,3966
7016,1510
3148,2704
7260,1870
3330,2186
7192,6839
1820,5353
5896,4862
1192,5784
874,779
1703,2324
2047,6298
2329,5230
4287,6360
6868,6715
770,2119
7571,2671
4622,1920
4398,5410
5274,385
432,3063
4384,816
4079,6596
1553,286
1195,3988
2886,610
4589,2911
7072,479
2075,2088
3809,5954
3905,6416
3960,3871
4557,5847
3146,914
2726,328
565,1313
3925,652
5477,340
5499,7269
2629,6811
4148,6551
1016,6847
4221,2865
4407,3809
93,4886
2139,1699
4568,4666
423,7272
6851,2358
595,3592
1309,2935
5603,6279
3373,4461
5861,1619
133,5224
3273,7263
1774,6647
1776,5030
5437,3543
6416,6567
3971,3629
5127,3317
361,2607
6913,957
1309,6318
94,3017
6389,7373
1589,2171
49,1554
3330,4764
1544,708
2671,5882
6075,3241
6416,1090
2477,4296
1995,6242
7578,3976
2321,7166
4663,2809
1261,770
3926,72
5526,4904
5271,6075
5409,4319
2556,5528
887,6221
5200,7363
1896,6421
6516,2610
707,4533
22,4430
4313,1649
6515,5391
6140,3262
6637,4068
7108,5905
7283,6660
1034,6621
7190,4217
5745,4426
6951,5921
5464,1932
4032,6510
6146,1737
2857,5991
5636,1635
1097,904
5871,3195
5107,2045
5014,6018
2798,6350
7412,250
6961,4515
3800,5571
361,2741
6436,3381
3862,4759
911,5625
5493,4740
2817,3559
4787,3760
3453,5463
3047,4021
1412,6550
3680,6408
2477,4430
3351,5186
376,5466
6214,4473
7207,2477
1695,4394
616,1920
5769,824
3976,2013
5595,2923
5777,4849
600,5359
6723,6979
7332,4808
3550,3302
1902,4872
4288,6449
7141,1076
1528,2187
2935,5658
2424,2702
2386,6382
4578,5464
837,3959
770,2737
3645,1095
3479,1557
432,3681
2070,1423
172,5262
4327,7316
5605,5681
4951,7143
3960,1106
2860,6423
6635,2786
5967,6070
5349,7189
6416,5896
1641,6386
7259,923
139,3809
3604,1444
3350,7189
867,3959
4570,1974
693,6812
3666,5705
3077,2866
7557,7154
6743,225
4864,4114
7455,2151
1118,2265
7143,7514
3072,5905
3787,1686
614,3671
3809,1445
6851,6359
4571,5932
4031,2046
1226,2737
4125,1681
5458,4449
4238,7220
4992,1266
4847,4295
6146,6543
6626,764
6130,3566
6037,1123
5660,5337
6885,6882
6434,3977
424,2234
389,1459
563,3332
4883,5645
313,2403
6374,7309
2200,849
1837,797
4039,3977
2088,4580
2516,2775
1638,3031
3847,7190
4119,5434
6378,5738
1080,4201
2305,5746
5772,5928
493,4441
2936,7306
2640,6224
4474,4844
5681,2777
3809,3673
5115,676
2957,424
3478,5788
1456,1455
3185,4977
425,6377
1709,3621
7237,3146
5430,7103
294,1198
1321,5202
3339,2411
5132,1030
5939,6226
6434,2233
3960,2529
613,3395
7184,5205
6991,3844
7416,2330
2185,3735
3487,1528
6868,6662
6436,3999
3960,5912
5725,4927
1712,3488
4202,5445
3214,1369
2448,4310
6694,5728
3531,4459
5905,6965
7161,1407
4198,4922
3809,5901
5877,221
5374,4296
3729,5383
1334,2000
7478,4497
5895,3244
4279,6015
4427,1749
2980,1323
2564,7272
3681,1370
4116,1298
174,1789
432,4299
690,2837
6230,2187
6208,2428
7364,2116
4280,3392
4316,3049
959,783
6915,5673
3809,774
674,1553
770,1261
1186,7363
6974,3809
4558,5965
7137,5493
6559,1315
1497,2529
3601,5174
4031,4758
4693,3157
5882,2793
5345,1622
5396,6283
5651,2860
3221,2674
1385,3227
2935,2088
4029,898
925,2488
997,4808
2122,5183
3111,5697
3481,5230
2187,882
3142,3320
1462,6076
3809,2063
3300,3906
4124,5107
3847,103
2735,7103
7589,6906
385,2739
3034,7170
2067,3971
2368,3145
4092,6323
6654,3430
4369,2659
5267,3809
31,3150
3809,5446
3809,3002
2644,1508
6897,2599
5560,4031
7299,6551
1690,4398
3030,6647
2629,6303
1927,6785
6870,7377
628,2093
1908,127
1052,5804
1174,1071
5434,6551
4167,3060
7168,1557
361,5132
1548,723
1868,4111
3862,734
5976,1623
2720,3573
4055,1314
2171,887
1541,2935
3177,3260
6596,4714
3767,93
3760,3086
30,2524
3273,1278
2378,3809
3326,6766
1206,7560
2923,5595
4327,5385
5494,5262
7572,6686
657,1868
478,4377
4428,7157
4693,258
887,2330
1298,4116
5651,6377
1635,6919
3178,1391
2187,1016
5738,4841
2899,6140
2684,1822
7066,849
6868,7280
2716,4743
4283,5463
7375,2358
7272,4889
2693,3039
1819,31
2629,5498
4974,7074
2756,7525
270,1580
483,2627
887,236
66,5722
2499,729
6046,3092
3809,6519
4936,1305
5118,787
520,6831
5026,1198
91,3685
4119,2214
258,415
2443,16
3952,6238
3427,7356
887,7002
4745,2676
806,5882
708,3095
4044,6012
5171,798
6824,3544
2249,150
6452,1686
3933,2209
1080,1920
2310,3809
3478,2568
4362,2322
3543,5437
2510,6314
2627,483
6154,716
7071,2108
6343,3621
16,2171
6518,4376
6423,1106
3054,3179
5445,5854
2420,2075
1021,185
5900,6434
3087,94
4384,3959
6218,2579
1345,2726
3809,5714
242,6082
1868,2501
5192,6347
7132,6117
439,180
6442,5670
2712,4354
2629,2599
5475,5854
7485,4
764,5605
2321,5637
7319,6882
466,3696
3809,3620
2854,3656
6663,5265
2704,7095
3292,849
6542,4746
7342,1389
1256,2280
779,2880
369,7146
4519,2440
5338,1045
5699,270
1996,6227
7268,127
1712,52
841,725
4578,768
3124,1423
2866,3077
4127,4279
5780,609
7141,3735
570,3645
3772,6562
5375,2775
7335,4732
2142,2265
1166,1424
6491,3064
7174,3094
1699,1695
1320,7526
5305,2975
623,3656
6359,7082
6882,2693
4337,1995
7509,2037
5188,5019
3077,1203
5967,4757
7082,4444
2507,1050
6416,4583
4766,1354
4738,5722
5769,4772
6416,2139
5493,2622
3468,270
5202,1692
6258,6626
3006,1902
3978,3001
5399,2206
2512,3087
4482,2534
4124,2826
216,5345
2088,5011
2286,300
3030,3427
394,7337
6693,7493
2426,4252
3809,3165
6870,4157
2262,5541
3809,721
1634,5972
3320,4694
4454,3869
1909,3733
6608,215
2475,172
1143,6674
5938,5116
3737,4982
6763,6919
2171,700
32,690
1176,5279
4199,6733
959,7496
99,222
522,325
4710,3273
914,6033
4620,2067
4864,707
454,6048
3976,4217
4064,4064
1768,3878
3323,6281
2552,3960
4252,328
5045,2216
3971,7256
4799,497
3809,2010
2140,2703
2348,5850
5462,2504
4543,4449
195,4252
2375,4263
5895,5769
1920,4622
5602,1760
4750,4927
3514,5475
2951,6301
2266,6198
2775,2103
7207,493
7174,4517
5271,7258
5016,5019
4221,2304
4296,5861
320,1106
84,2327
2780,3386
1546,4007
2671,4382
5701,3809
1967,3283
1633,4161
3316,922
6886,4235
6774,1550
3314,4259
3809,266
127,4848
502,3971
7207,4815
6734,2151
5684,3613
7493,2957
2227,3587
255,3313
7578,32
4042,2719
1843,214
3809,1205
467,4135
250,6352
1458,2066
2027,6158
3873,3849
5175,3362
2692,132
4218,851
3065,4844
2540,6154
7117,3959
3553,3844
2321,1128
6715,5642
7474,32
6,4864
7571,150
1389,1333
1826,2088
2619,3976
740,887
535,4427
93,1076
3809,2494
3525,2735
1233,4957
3005,2699
4529,6755
6270,2932
6879,7
3508,287
2957,6600
6357,5560
1909,6445
1649,7272
5722,848
2029,7493
2535,2935
3005,6082
2093,338
1148,3314
5917,6951
2827,5029
3634,3809
1793,4018
1803,4706
6416,6140
5290,3820
4519,2253
7205,1870
4173,5780
1597,5769
2810,1827
7409,7527
1705,5302
1681,4716
7574,3430
3706,652
3057,2458
3417,549
2023,1447
6980,2691
3045,5107
7348,3087
3270,3505
7571,4822
6876,4031
3809,4722
411,1893
2766,2659
1909,1318
5388,571
804,4039
298,6153
5499,6037
253,4690
1528,1626
3548,3634
614,3915
3563,6386
6961,2799
7145,5360
1114,1986
1363,6662
4257,5262
366,7196
7111,2743
6242,79
2233,6518
3809,2628
2551,5107
3673,5965
4201,1920
581,4906
6426,2640
2867,7033
5350,437
2826,616
6260,658
759,482
1893,411
203,789
3432,3809
4146,2398
2336,1920
7143,6603
5692,6967
2442,7042
162,5861
1628,113
1325,4276
2441,7571
6181,7131
3621,1237
3760,5745
432,4409
900,313
7524,4201
7496,2153
4860,6063
7396,4955
3669,3348
1833,3901
4426,3327
319,2253
4037,1300
2640,3435
3746,3568
7146,1774
219,4301
4427,6181
7445,121
270,3300
3971,3686
559,959
3647,6972
5560,5885
6687,4643
3686,3702
1628,5374
6129,6567
1597,3809
6915,6722
2187,642
394,5995
939,3809
4117,6140
3427,1721
2957,4990
1837,5713
7157,7009
5672,3847
6704,1025
3084,2321
2678,1633
7369,1415
326,6965
402,5297
264,7053
1735,1649
1759,6961
3529,6320
1165,2058
